generation,best_value,avg_value
1,44,32
2,44,36
3,44,36
4,44,39
5,44,39
6,44,41
7,44,42
8,44,42
9,44,41
10,44,42
11,44,42
12,44,41
13,44,41
14,44,42
15,44,42
16,44,42
17,44,42
18,44,42
19,44,42
20,44,42
21,44,42
22,44,41
23,44,41
24,44,42
25,44,42
26,44,42
27,44,42
28,44,42
29,44,43
30,44,43
31,44,43
32,44,42
33,44,42
34,44,42
35,44,42
36,44,43
37,44,42
38,44,42
39,44,43
40,44,42
41,44,43
42,44,42
43,44,43
44,44,42
45,44,42
46,44,43
47,44,42
48,44,43
49,44,42
50,44,42
51,44,43
52,44,42
53,44,42
54,44,43
55,44,43
56,44,43
57,44,43
58,44,42
59,44,43
60,44,43
61,44,43
62,44,42
63,44,42
64,44,42
65,44,42
66,44,42
67,44,43
68,44,43
69,44,42
70,44,42
71,44,43
72,44,42
73,44,42
74,44,43
75,44,42
76,44,43
77,44,42
78,44,42
79,44,42
80,44,43
81,44,43
82,44,42
83,44,42
84,44,42
85,44,43
86,44,42
87,44,43
88,44,42
89,44,42
90,44,42
91,44,42
92,44,43
93,44,42
94,44,43
95,44,43
96,44,42
97,44,43
98,44,42
99,44,43
100,44,43
101,44,43
102,44,41
103,44,42
104,44,43
105,44,42
106,44,42
107,44,42
108,44,43
109,44,42
110,44,42
111,44,43
112,44,41
113,44,42
114,44,43
115,44,42
116,44,42
117,44,43
118,44,43
119,44,42
120,44,42
