iteration,best_value
1,4.683677722026914
2,4.683677722026914
3,3.7837435368369547
4,3.7837435368369547
5,2.580635169640928
6,2.4208954861424274
7,1.6794552415145816
8,0.05858459121446913
9,0.05858459121446913
10,0.05858459121446913
11,0.05858459121446913
12,0.05858459121446913
13,0.057878264906591426
14,0.05582904303931713
15,0.05582904303931713
16,0.05582904303931713
17,0.02510751693465707
18,0.01476813394770815
19,0.01476813394770815
20,0.01476813394770815
21,0.01476813394770815
22,0.01476813394770815
23,0.014360344851386486
24,0.014130832638095114
25,0.014125374682542713
26,0.014125374682542713
27,0.012602861347112082
28,0.010599436537997775
29,0.0017824022074321988
30,0.0017824022074321988
31,0.0016784261758147068
32,0.0012450259781928708
33,0.0012450259781928708
34,0.0012450259781928708
35,0.0009642165606216224
36,0.0008274950454207897
37,0.0007761866519970795
38,0.0007552420514898017
39,0.0007459575707216004
40,0.0007415582223515571
41,0.0007393767738506085
42,0.000738265901325974
43,0.0007376926586530885
44,0.0005823646738569721
45,0.0003163103054362182
46,2.7636210333525923e-06
47,2.7636210333525923e-06
48,2.7636210333525923e-06
49,2.7636210333525923e-06
50,2.7636210333525923e-06
51,2.7636210333525923e-06
52,2.7636210333525923e-06
53,2.7636210333525923e-06
54,1.0466008468767996e-06
55,1.0102247927079588e-07
56,9.508735132612856e-09
57,9.508735132612856e-09
58,8.533962869705647e-09
59,8.533962869705647e-09
60,8.533962869705647e-09
61,7.94706522810884e-09
62,7.94706522810884e-09
63,7.635563292751613e-09
64,7.635563292751613e-09
65,7.635563292751613e-09
66,7.563858872572382e-09
67,7.548624836317686e-09
68,4.211955229038722e-10
69,4.211955229038722e-10
70,4.211955229038722e-10
71,3.5694824873644393e-10
72,5.987743634250364e-11
73,8.984812893686467e-12
74,8.984812893686467e-12
75,8.984812893686467e-12
76,8.984812893686467e-12
77,8.984812893686467e-12
78,3.588240815588506e-12
79,3.588240815588506e-12
80,3.588240815588506e-12
81,2.263078613395919e-12
82,2.263078613395919e-12
83,1.7479351299698465e-12
84,1.3287149158713873e-12
85,9.237055564881302e-13
86,5.684341886080801e-13
87,3.481659405224491e-13
88,2.2026824808563106e-13
89,1.3145040611561853e-13
90,3.552713678800501e-14
91,2.1316282072803006e-14
92,7.105427357601002e-15
93,3.552713678800501e-15
94,3.552713678800501e-15
95,3.552713678800501e-15
96,3.552713678800501e-15
97,3.552713678800501e-15
98,3.552713678800501e-15
99,3.552713678800501e-15
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
