date,value
2020-01-01,112.1
2020-02-01,114.8
2020-03-01,118.3
2020-04-01,125.4
2020-05-01,132.0
2020-06-01,136.2
2020-07-01,139.6
2020-08-01,141.1
2020-09-01,137.5
2020-10-01,133.4
2020-11-01,129.3
2020-12-01,126.7
2021-01-01,119.4
2021-02-01,122.6
2021-03-01,126.2
2021-04-01,133.8
2021-05-01,140.4
2021-06-01,145.2
2021-07-01,149.1
2021-08-01,150.4
2021-09-01,146.3
2021-10-01,141.8
2021-11-01,137.0
2021-12-01,133.6
2022-01-01,126.5
2022-02-01,129.8
2022-03-01,134.2
2022-04-01,142.1
2022-05-01,148.9
2022-06-01,153.5
2022-07-01,157.4
2022-08-01,159.0
2022-09-01,154.8
2022-10-01,149.9
2022-11-01,145.7
2022-12-01,141.6
2023-01-01,134.8
2023-02-01,138.4
2023-03-01,143.1
2023-04-01,151.7
2023-05-01,159.0
2023-06-01,163.8
2023-07-01,167.9
2023-08-01,169.2
2023-09-01,164.7
2023-10-01,160.0
2023-11-01,155.2
2023-12-01,150.5
