t,est_pos,est_vel,true_pos,measurement
0,0.5960569836134791,0.0,0.0,0.5960569836134791
1,0.7981302435562487,0.15221216319699218,1.0,0.8340828385945784
2,2.345141714777548,0.9098839780443169,2.0,2.777226245720831
3,4.307149155438433,1.355988602099424,3.0,4.8276358276896305
4,4.503801790918261,0.9334195057271288,4.0,3.719015950331997
5,5.04393981405353,0.7999954948002413,5.0,4.719035651660984
6,6.907913504646192,1.1537304434884184,6.0,7.89505537860887
7,7.9907216355942206,1.1300837035668645,7.0,7.92092167498349
8,8.282472437949366,0.8484307729872322,8.0,7.436630736878057
9,9.388780137738294,0.9355250058783617,9.0,9.651072052303158
10,9.888209394408081,0.7879209691953378,10.0,9.443898768625044
11,10.559731061249373,0.7485093374206155,11.0,10.441124295715692
12,11.794659594935798,0.9131632853693826,12.0,12.29035472587924
13,11.71554040997559,0.5773708746510711,13.0,10.704063706410643
14,12.113269300814759,0.5165888666371465,14.0,11.93009860098436
15,13.469220121539497,0.800574153897199,15.0,14.325254964910831
16,14.524651398977484,0.886801485878428,16.0,14.784602655598691
17,16.384523020851866,1.2160311533520631,17.0,17.37709679911433
18,17.258889885144047,1.1004307789308374,18.0,16.910371109374548
19,17.837513458124565,0.9238791101685448,19.0,17.30523555839765
20,20.284800753095478,1.439319516991695,20.08,21.838778522705866
21,21.35034458557901,1.3128537381404484,21.24,20.969068439416155
22,22.612623533526662,1.2957419336741636,22.479999999999997,22.561033845625506
23,23.008364373147952,0.9912297958491367,23.799999999999997,22.090302176543847
24,24.270449641771105,1.0828727620398497,25.199999999999996,24.546740730569777
25,26.075963560491942,1.327375775009899,26.679999999999996,26.813107107651835
26,27.13377839188364,1.2361708051989548,28.239999999999995,26.85880770709323
27,29.340653001118422,1.5646049323088964,29.879999999999995,30.3308376220148
28,30.89237502479536,1.560246046643554,31.59999999999999,30.87923357209743
29,32.748327058708476,1.6602971010353966,33.39999999999999,33.04996750024806
30,34.482546348964576,1.685308407154268,35.279999999999994,34.55795206532472
31,37.79892747932369,2.2371759798391575,37.239999999999995,39.46273382141072
32,39.653789678117235,2.1078214911075763,39.279999999999994,39.263803330314474
33,40.954280097801146,1.834663935373084,41.39999999999999,40.13074688525291
34,43.67906712604076,2.1358338729040085,43.599999999999994,44.58705389452382
35,45.082295554665066,1.8879594635446135,45.8,44.334987620034774
36,47.60408556625215,2.102413743081362,48.0,48.2506363140057
37,48.786677427406595,1.7911953273633452,50.2,47.84839585134427
38,50.690890682624506,1.8294345355687018,52.400000000000006,50.80617674132189
39,53.666775427615924,2.2173318283907015,54.60000000000001,54.83623348304296
40,56.7761821528666,2.5191621518025165,56.80000000000001,57.68615989599451
41,59.25093870395083,2.504137676981788,59.000000000000014,59.20564193742798
42,61.41159583711626,2.3879222740033472,61.20000000000002,61.06122206113413
43,63.4228762081407,2.260486844773738,63.40000000000002,63.03867556529287
44,64.7637956260099,1.9493545229945406,65.60000000000002,63.82577361155911
45,66.82356064798915,1.9867115170472298,67.80000000000003,66.93618694992638
46,69.12558881125615,2.0933977668682378,70.00000000000003,69.44723347484829
47,72.33259227626439,2.470182237774543,72.20000000000003,73.46854667146273
48,74.8075107059862,2.471784711235253,74.40000000000003,74.81234194748218
49,75.89570707378087,2.003652586187658,76.60000000000004,74.48435181356476
50,78.53772461180024,2.2196410648949585,78.80000000000004,79.1889007632738
51,80.64872362627995,2.1828824190365013,81.00000000000004,80.53790126350046
52,82.61185489021177,2.1085304084052203,83.20000000000005,82.3876935996329
53,85.4201764486583,2.3453022196967925,85.40000000000005,86.13401154660909
54,88.2960154373753,2.5248074217135392,87.60000000000005,88.8371994269952
55,90.84394745986255,2.5326315469690015,89.75000000000006,90.8675361429395
56,92.12234446202818,2.108265813078216,91.85000000000004,90.84293897213288
57,93.88326312712135,1.9907421585271026,93.90000000000003,93.5289451489786
58,96.08365697585036,2.061677051639879,95.90000000000003,96.29751611768432
59,98.57864607007414,2.208286618181251,97.85000000000004,99.02065415254688
60,99.98896887766672,1.9382984413272695,99.75000000000006,99.1749909145857
61,101.65497060362773,1.8461678299266993,101.60000000000008,101.37720922800348
62,102.79386528359755,1.606864510953171,103.40000000000006,102.07239803119283
63,104.06104940668165,1.4919348770313385,105.15000000000006,103.71455205110324
64,106.67772158794057,1.8724856867028297,106.85000000000008,107.8250309868731
65,109.355764384132,2.145043028848641,108.55000000000008,110.17748803428506
66,110.83884006885881,1.9210687658498216,110.25000000000009,110.16358785410368
67,112.95511537843744,1.9871161957607415,111.95000000000007,113.1542394774705
68,114.517360719937,1.8433626748388467,113.65000000000008,114.08396323005724
69,115.47715590120018,1.5444108006404969,115.35000000000008,114.57585629447394
70,117.25032526270928,1.6218104345200017,117.05000000000008,117.48367472661018
71,119.72532852303551,1.9104851494477226,118.75000000000009,120.59564387975924
72,121.02751511481617,1.704669526748891,120.45000000000007,120.40700875306814
73,123.37344387214227,1.9216372742293286,122.15000000000008,124.0275723869769
74,123.02348755582338,1.1530517770839577,123.8500000000001,120.7063058750924
75,125.34468950033465,1.5482911724178259,125.5500000000001,126.53628300525035
76,127.12142626623832,1.6255849149123254,127.2500000000001,127.3544564818859
77,128.6698751925181,1.5994862314076617,128.9500000000001,128.59119117944107
78,130.51229944421047,1.6816834342316764,130.6500000000001,130.76011293184268
79,131.09052263558348,1.3083316415225785,132.35000000000008,129.964917302479
